image_path,writer_id
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_1.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_10.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_11.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_12.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_13.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_14.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_15.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_16.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_17.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_18.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_19.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_2.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_20.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_21.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_22.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_23.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_24.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_25.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_26.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_27.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_28.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_29.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_3.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_30.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_31.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_32.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_33.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_34.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_35.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_36.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_37.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_38.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_39.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_4.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_40.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_41.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_42.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_5.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_6.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_7.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_8.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-01\line_9.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-02\line_1.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-02\line_10.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-02\line_11.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-02\line_12.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-02\line_13.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-02\line_14.png,WRITER_A
Dataset\WRITER_A_LINES\586803360-Medieval-History-Hand-Written-Notes-90-Pages-PDF-02\line_15.png,WRITER_A
